"name","price","url"
"2000ml Sports Water Bottle, Portable Summer Fitness Water Bottle with Straw","Price:
USD 28.30","https://www.etsy.com/listing/1247939316/2000ml-sports-water-bottle-portable?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=Large+capacity+sports+water+bottle&ref=sc_gallery-1-6&pro=1&plkey=7c7cbf7b8d63e1d4dd13409af20c1b20a6414c20%3A1247939316"
"Ms. Frizzle Women's Dress Magic School Bus Costume Teacher Planets Solar System Space Galaxy Miss Mrs 90s Cartoon Halloween Cosplay Adult","USD 28.99+","https://www.etsy.com/listing/526756239/ms-frizzle-womens-dress-magic-school-bus?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-1-2&bes=1"
"Redmi 9A - 6.53"" 4GB RAM 64GB ROM 13MP 5000mAh - Green","UGX 416,000","https://www.jumia.ug/redmi-9a-6.53-4gb-ram-64gb-rom-13mp-5000mah-green-27216227.html"
"3-In-1 Soft Material Anti Theft Backpack- Multi-color","UGX 55,000","https://www.jumia.ug/3-in-1-soft-material-anti-theft-backpack-maroon-generic-mpg89495.html"
